traditional,simplified,pinyinnum,morph,morphnew,morphnewer,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq
嘆,叹,tan4,A,A,A,叹,,,,38158,,,,21,,,
吁,吁,xu1,A,A,A,吁,,,,"4,4691",,,,5,,,
吁,吁,yu1,,A,A,吁,,,,"4,4691",,,,5,,,
吠,吠,fei4,A,A,A,吠,,,,2558,,,,1,,,
咤,咤,zha4,A,A,A,咤,,,,"0,6519",,,,1,,,
咨,咨,zi1,A,A,A,咨,,,,"10,7951",,,,3,,,
咻,咻,xiu1,A,A,A,咻,,,,"2,2173",,,,0,,,
咻,咻,xiu1,,A,A,咻,,,,"2,2173",,,,0,,,
哇,哇,wa1,A,A,A,哇,,,,"204,4444",,,,5,,,
哇,哇,wa1,,A,A,哇,,,,"204,4444",,,,5,,,
唏,唏,xi1,A,A,A,唏,,,,2558,,,,1,,,
唏,唏,xi1,,A,A,唏,,,,2558,,,,1,,,
嘯,啸,xiao4,A,A,A,啸,,,,"19,2889",,,,4,,,
嘯,啸,xiao4,,A,A,啸,,,,"19,2889",,,,4,,,
喟,喟,kui4,A,A,A,喟,,,,,,,,,,,
嗃,嗃,xiao1,A,A,A,嗃,,,,,,,,,,,
嗟,嗟,jie1,A,A,A,嗟,,,,"0,9679",,,,2,,,
嗽,嗽,shu4,A,A,A,嗽,,,,"18,4593",,,,1,,,
嗽,嗽,sou4,A,A,A,嗽,,,,"18,4593",,,,1,,,
嗾,嗾,sou3,A,A,A,嗾,,,,,,,,,,,
噓,嘘,xu1,A,A,A,嘘,,,,"19,2938",,,,3,,,
噓,嘘,xu1,,A,A,嘘,,,,"19,2938",,,,3,,,
嚶,嘤,ying1,A,A,A,嘤,,,,"5,2494",,,,1,,,
嚶,嘤,ying1,,A,A,嘤,,,,"5,2494",,,,1,,,
嘶,嘶,si1,A,A,A,嘶,,,,"3,5556",,,,5,,,
嘶,嘶,si1,,A,A,嘶,,,,"3,5556",,,,5,,,
嘻,嘻,xi1,A,A,A,嘻,,,,"65,7778",,,,3,,,
嘻,嘻,xi1,,A,A,嘻,,,,"65,7778",,,,3,,,
嚏,嚏,ti4,A,A,A,嚏,,,,"6,8296",,,,3,,,
嚏,嚏,ti4,,A,A,嚏,,,,"6,8296",,,,3,,,
嚱,嚱,xi4,A,A,A,嚱,,,,,,,,,,,
愾,忾,kai4,A,A,A,忾,,,,"0,1086",,,,0,,,
抑,抑,yi4,A,A,A,抑,,,,"33,1309",,,,8,,,
搉,搉,que4,A,A,A,搉,,,,,,,,,,,
欷,欷,xi1,A,A,A,欷,,,,,,,,,,,
欸,欸,ai3,A,A,A,欸,,,,"1,5111",,,,0,,,
歎,歎,tan4,A,A,A,歎,,,,,,,,,,,
殷,殷,yin3,A,A,A,殷,,,,"4,4593",,,,5,,,
淅,淅,xi1,A,A,A,淅,,,,,,,,,,,
湩,湩,dong4,A,A,A,湩,,,,,,,,,,,
漱,漱,shu4,A,A,A,漱,,,,"6,3457",,,,3,,,
澌,澌,si1,A,A,A,澌,,,,,,,,,,,
猗,猗,yi1,A,A,A,猗,,,,,,,,,,,
砉,砉,xu1,A,A,A,砉,,,,,,,,,,,
砉,砉,hua1,,A,A,砉,,,,,,,,,,,
砯,砯,ping1,A,A,A,砯,,,,,,,,,,,
硠,硠,lang2,A,A,A,硠,,,,,,,,,,,
磌,磌,tian2,A,A,A,磌,,,,,,,,,,,
礐,礐,que4,A,A,A,礐,,,,,,,,,,,
繣,繣,hua4,A,A,A,繣,,,,,,,,,,,
翕,翕,xi4,A,A,A,翕,,,,,,,,,,,
羋,芈,mi3,A,A,A,芈,,,,,,,,,,,
萋萋,萋萋,qi1~qi1,RED,A,BB,x,,,,,,,,,,,
訇,訇,hong1,A,A,A,訇,,,,"0,1975",,,,1,,,
訇,訇,hong1,,A,A,訇,,,,"0,1975",,,,1,,,
跫,跫,qiong2,A,A,A,跫,,,,,,,,,,,
鋗,鋗,xuan4,A,A,A,鋗,,,,,,,,,,,
鏜,镗,tang1,A,A,A,镗,,,,"0,0444",,,,0,,,
鏜,镗,tang1,,A,A,镗,,,,"0,0444",,,,0,,,
闛,闛,tang2,A,A,A,闛,,,,,,,,,,,
闛,闛,tang1,,A,A,闛,,,,,,,,,,,
雊,雊,gou1,A,A,A,雊,,,,,,,,,,,
霍,霍,huo4,A,A,A,霍,,,,"39,7333",,,,3,,,
霍,霍,huo4,,A,A,霍,,,,"39,7333",,,,3,,,
馥,馥,fu4,A,A,A,馥,,,,,,,,,,,
騞,騞,huo1,A,A,A,騞,,,,,,,,,,,
魄,魄,bo2,A,A,A,魄,,,,"9,8716",,,,7,,,
鷕,鷕,yao3,A,A,A,鷕,,,,,,,,,,,
䶀,䶀,ta4,A,A,A,䶀,,,,,,,,,,,
丁,丁,ding1,A,A,A,丁,,,,"65,2543",,,,34,,,
東,东,dong1,A,A,A,东,,,,"805,9358",,,,101,,,
乒,乒,ping1,A,A,A,乒,,,,"3,8272",,,,5,,,
乓,乓,pang1,A,A,A,乓,,,,"3,9506",,,,5,,,
亮,亮,liang4,A,A,A,亮,,,,"441,8864",,,,38,,,
克,克,ke4,,A,A,克,,,,"612,6568",,,,37,,,
